State,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01
AK,3.1234506693108575,3.109696376101861,3.0480370641306997,3.0486329542705057,2.979027645376549,2.8802666031897166,2.772511848341232,2.936996684036002,2.9467232437529467,2.8295213393067673,2.7257643991467173,2.88576198425948,2.990742938523617,3.049070986183897,2.955082742316785,3.0971374941342096,3.3011082291912284,3.2386763670499885,3.3497306160693374,3.2273152478952296,3.101503759398496,3.0762060125844792,3.1242713919328513,2.9850746268656714,2.903520804755373,2.8755463538072235,2.913512273457215,2.7283236994219653,2.829085807809212,2.8765201122544433,3.045325779036827,3.259329239489844,3.442661083973017,3.3621293485874384,3.203342618384401,3.295162421126432,3.240197229396572,3.230304438763653,3.1738623103850645,3.2718894009216593,2.895886003217651,2.9015784586815228,2.6746599031588656,2.509696554871093,2.3126734505087883,2.297516825249478,2.446342026309716,2.4232633279483036,2.455818223548313,2.6219790241678065,2.7921639270434584,2.701475595913734,2.8699551569506725,2.9222935576710207,3.016759776536313,2.9167601525689926,3.040465012295998,3.257474341811691,3.0868310015545193,2.937279151943463,2.9482948294829483,2.7496700395952485,2.602892102335929,2.6607538802660753,2.840026625249612,2.93398533007335,2.9322328410078193,2.9821926625187727,2.96421765826805,2.782392026578073,2.8716904276985744,2.915335463258786,2.8661790867760426,3.0033590199565303,3.336585365853659,3.434967194133539,3.5953337158156433,3.6601555091978004,3.8055764883195176,3.983190206468116,3.917091164588091,4.004037685060565,4.192212096106048,4.196840026333113,4.1326363933355115,4.1518578352180935,4.1338266044716105,4.134491634491635,3.958165728077233,4.08228352734811,4.049547403525489,4.036964980544747,4.104540123973865,4.199475065616798,4.151689432063264,4.450450450450451,4.862617498192336,4.982786736727668,4.787812840043525,4.958528669311215,5.188254368582237,5.204932898077621,5.2921719955898565,5.472636815920398,5.823109320637246,5.921173235563703,6.110201854882706,6.546854942233633,6.66788789155523
AL,1.497688876329653,1.4978801695864332,1.5014063304678524,1.5109265302086423,1.5480243883126137,1.5496071696474398,1.5145256780944514,1.4981346946789713,1.510461562573466,1.4777553776594705,1.4639970250327834,1.4645173972872028,1.4445719713460246,1.4479279992087823,1.3942957019146738,1.3831835049909706,1.3343628120607391,1.3692134431865333,1.3850798097981571,1.3889983450232486,1.407203306435741,1.4271953449055417,1.4478575621209158,1.4815967023779433,1.5178502284519475,1.5133289356253152,1.5773786482929473,1.5716106112677142,1.59790539629979,1.578846153846154,1.583549533967522,1.5804128660585695,1.5584316128044111,1.5554747737578205,1.5539480231178473,1.563844227350068,1.498832567598102,1.522118578855502,1.49727597219613,1.4966574025388717,1.5030962657158942,1.4594847775175643,1.449194061109241,1.422429906542056,1.4423797392477147,1.4342957720106355,1.4162342406474213,1.4128640048033623,1.4009974492709485,1.3636710405859018,1.3572937884296892,1.3542300669507,1.3510949182132148,1.3886520791891634,1.372426699937617,1.4031117397454032,1.3814289214300521,1.428248417244498,1.4415396470389235,1.4207855666228153,1.451212166842343,1.4787915091160946,1.5120647440330448,1.5628471965039625,1.641684511063526,1.6654912385395757,1.6578975246301069,1.6406142404627462,1.6437567713976162,1.6088964470898148,1.607727570399476,1.595593573435182,1.5860595299003823,1.5850165476914857,1.6425163586948492,1.6874151867366807,1.6908784283558687,1.7152862272605869,1.7734064118927848,1.7915092242720605,1.8267019568707423,1.883753702798309,1.9123505976095616,1.9948605974184157,2.0272822031209876,2.074856997012326,2.052869659307795,2.0582853167581625,2.0858019627502813,2.0913501756734147,2.156970195147198,2.2517302934452412,2.325656670281118,2.3914072574721277,2.436031673319809,2.4342761791025245,2.548494983277592,2.6271345468192906,2.692091022380034,2.6839576019903886,2.718690147290632,2.766112990700284,2.7942854223781226,2.7679893774577398,2.749680170575693,2.7524511066467485,2.7822281943941976,2.7942945523285787,2.7184598813452103
AR,1.2183785937188765,1.2099432942107347,1.270280053970448,1.2284850873735382,1.2548199464087315,1.275958596445544,1.2905328336320678,1.2919310970081597,1.2738029808282954,1.283250040303079,1.2610055793853001,1.2360420835215904,1.2408568443051202,1.252753756617236,1.19982906544821,1.2266719144609532,1.245018280030302,1.219031346520339,1.2422360248447204,1.262791918131724,1.2475442043222005,1.2266719144609532,1.23790598429814,1.2504834343173907,1.2406389612059268,1.229297727564514,1.2328723370276917,1.2363775412656937,1.2223774447548896,1.267627951196324,1.2583201267828843,1.2913026965438663,1.308405321899237,1.2987012987012987,1.3047324192835028,1.3386544323288188,1.3254056732317603,1.3118093709488239,1.338592459158954,1.3288829272857723,1.3823163138231631,1.3963346216182522,1.4104724458590776,1.4245103245759272,1.4048811013767208,1.4291955314235785,1.3913530675133066,1.366978819684495,1.4020474343485725,1.4365446819306147,1.3778600797212892,1.3612238526381517,1.2909073859906854,1.2408576608114021,1.1967254093238346,1.1095873332502182,1.1050583657587547,1.1138767890479153,1.1281224818694602,1.1231783161607722,1.1381560634645718,1.144602474315861,1.1932064712080828,1.2448132780082988,1.2828024299238336,1.323596531264263,1.3769569251953182,1.4081620703788278,1.4124537076909827,1.3964052379216556,1.3831939205073533,1.3590692755156002,1.312759097190235,1.3293831662108782,1.3505001385774396,1.3625964753500766,1.4001750218777347,1.411270143128816,1.3765121720515756,1.3967164910561138,1.419937377120804,1.441349472558456,1.4943377646479568,1.5661687565569267,1.5910859035811982,1.578213681170965,1.600377143140709,1.577615716624498,1.5602096842314477,1.5432789085215834,1.5898091727475614,1.6152263374485596,1.5913314314130917,1.623333773261185,1.610809378725659,1.5705554079192137,1.553198398095032,1.5779310344827588,1.5224070639687768,1.550023485204321,1.5436965723296538,1.538162534358775,1.5100531160488335,1.5104224724111024,1.5254190022030731,1.4865733366865064,1.46492337972726,1.442674888970609,1.3904165609047578
AZ,2.3613923808795994,2.3314429741650917,2.307575814939613,2.297029702970297,2.307186472522311,2.345591261082638,2.3172208251839432,2.372604671007476,2.362277553738577,2.3964376778389562,2.3851086896602416,2.3553862140630413,2.3999854325618664,2.3746749170477983,2.3650988121237946,2.4044935856545466,2.436219525140653,2.4855246434119476,2.5903455552624637,2.579002808988764,2.5713834989746016,2.5856801159278593,2.5903025221826312,2.6181945294066242,2.6616102479858794,2.6815524033280926,2.73329897456859,2.699542990753534,2.7150438109342216,2.723940153999965,2.6898540592501967,2.711568661664631,2.7393926752533417,2.7247200748778035,2.7293784138837034,2.7327173169062284,2.703836729213521,2.7096968078001873,2.71321049396049,2.734387954764037,2.72982537757323,2.7247321844434094,2.793565327217735,2.8226475173305916,2.812841665838386,2.807285020632053,2.8550609432962375,2.903654485049834,2.9274929038109474,2.968182429705368,2.993498966890087,2.995306738183037,3.001982441234778,2.9919370960218563,3.041028964554564,3.055408271474019,3.1588507265521795,3.2223557098892415,3.209335057198501,3.2560119174292406,3.32309502025879,3.354759321924129,3.3921215242018534,3.424951856508523,3.5030895740633006,3.6189137145826327,3.5995876228782184,3.6726039016115353,3.636898343299676,3.645862202760379,3.645555783288925,3.455701128551044,3.2968784482970013,3.2711465314254666,3.2852429008405792,3.3406306317202676,3.383608940577867,3.3842954990215266,3.420357950311344,3.393510920338341,3.37474274095564,3.338052578904972,3.274413909950613,3.3701871787411504,3.4340506187980826,3.4244458455414213,3.4145017639947697,3.3852178410462277,3.321764387338158,3.3074457593688362,3.411699711497146,3.4101508575124053,3.467294093835781,3.5091775525670172,3.5848465873512834,3.646748681898067,3.7764763833397184,3.8517118719430856,3.8852244579889237,3.8938567592259354,3.923280533266814,3.861234705228031,3.9067615955860844,3.9550624520270743,3.9306325993164117,3.910825883473923,3.9245336348219335,3.8767537355994066,3.793225875168643
CA,1.900149481649214,1.8906049935979514,1.8740558161723782,1.870814892161167,1.854580119594419,1.8470557766110236,1.8534396692467612,1.8645891821074303,1.8952959795927098,1.9111542192046558,1.8956137368242094,1.9029718801408297,1.9031789065301983,1.8955272007001704,1.8996541910212075,1.9105869760507654,1.9208050252908542,1.935999571647665,1.9269656693539448,1.9180154403871936,1.8859644101495567,1.8576523019893358,1.8745235554200335,1.8799463523797584,1.8711841411019823,1.8558717047518016,1.8552160956614685,1.8481940245621706,1.8612311197843228,1.8737565427861684,1.893990395404156,1.9050148309126342,1.9273378343093739,1.9644813426440013,1.9562617142814556,1.9344635956299163,1.9422055642162446,1.971110996530668,1.9677177039629175,1.970219320765789,1.9599847168951783,1.9701154413360158,1.97381479221648,1.9978641496416396,2.0192689856181825,2.031027643211597,2.0371167076663985,2.0830247919196707,2.121329226243852,2.1360038693277046,2.1635860143638697,2.189931410119536,2.220222470324221,2.247128214108731,2.270602476953161,2.30826840746247,2.3250190651563343,2.333967039849393,2.388953449641379,2.413311973541419,2.441807393884071,2.484597330203902,2.541798670500119,2.591644921845312,2.6658393825495654,2.7227617192498546,2.7917368486991383,2.884893530855122,2.9459401336039464,3.0246326779073063,3.050681363779859,2.9844279872331936,2.9103103476406353,2.924031832971335,2.9906558026013377,3.085550780275641,3.1567128729973657,3.2368789818118775,3.3073680030831394,3.3161557730925164,3.341692153821624,3.3585309447378413,3.4109085668996326,3.5642262820608575,3.7041645023530108,3.76263793943787,3.7763014265818495,3.779289493575208,3.7676977579710327,3.7393988525816915,3.728814611169377,3.7551825765522753,3.8265828567827715,3.8663025696844704,3.8626841551054425,3.870125508163893,3.9790752178585764,4.054124927885876,4.1139416184725714,4.122105126203487,4.182685265059653,4.203502265634182,4.285254600139219,4.317109387889787,4.2734816062270635,4.272620290719838,4.2596693361748885,4.2706348486223265,4.210852441681512
CO,2.545223913523053,2.5653729699972474,2.5867768595041323,2.5955574984290046,2.5281588349196826,2.5016297262059974,2.483766233766234,2.4996632996632995,2.4743268375515486,2.46607796683179,2.447232392849451,2.470737707133782,2.4869394862864604,2.468434855489767,2.4313263968759196,2.3961875184064683,2.440388970294392,2.4930674061433447,2.4667729930887825,2.4807436918990704,2.466035840778136,2.491589571068124,2.500328299409061,2.529422557731121,2.555183596610524,2.5209864956462797,2.5127723907830255,2.5674307520573194,2.559229367352252,2.5916298414348846,2.6428962389553523,2.655028660760813,2.656841886772871,2.661311220523452,2.702563042579578,2.68324776181016,2.6882134154161856,2.7032577721869946,2.741062033210995,2.6919421540674526,2.7123336836977976,2.6556165648894137,2.6480747089676346,2.6141628060886832,2.5953808855429377,2.598994102479001,2.5277388088254047,2.564692058139832,2.5429377082799283,2.5576036866359444,2.5250204248366015,2.5398609975470157,2.5224400539069847,2.5465304470969046,2.5422446406052965,2.5688954002374396,2.613885321447458,2.6438569206842923,2.6836900738515457,2.7428001496072807,2.784199666890397,2.794248443522087,2.8864357190273644,2.929827068743747,3.053363175874661,3.081768342470547,3.1766934664079107,3.2834048771577313,3.3552631578947367,3.351779367436001,3.311171662125341,3.176804286164513,3.223268812752303,3.2772291576092587,3.37308558791311,3.4902614530798286,3.548305192332106,3.675506492407901,3.7196447032512605,3.7432370087656754,3.781773093614383,3.796490229172174,3.818987674809253,3.9033722042452736,3.8711228660735753,3.8922869171498924,3.834784851310334,3.7874886098015135,3.768436869785282,3.6692180225676636,3.630844437435938,3.610273102572245,3.5879560069715732,3.662929122321483,3.79198041778165,3.8941692369022887,3.9406433878795686,3.9558537113178964,3.957052558663088,3.9898315308716445,4.025469458234405,4.118641130080596,4.173099923888224,4.201990416513085,4.2114617652158834,4.213689626843084,4.257859996525968,4.223689388308339,4.224335847818957
CT,2.0879520862976073,2.0857359385811725,2.0952880611207663,2.1359797574841446,2.142129644840162,2.196145273370919,2.3585522017509475,2.3830567285344855,2.447964393245189,2.5445043279438186,2.6015414132873724,2.611111111111111,2.713382507903056,2.765373292315835,2.8148000795703205,2.877674018146897,2.9637724352606134,3.0111302504306345,3.010566890410048,3.0773312110359465,3.0876096782770537,3.0442712651301607,3.099623687858982,3.1787474299141674,3.194525523772459,3.204074396415563,3.2807469414037347,3.272996174002508,3.3616146034194627,3.3794162826420893,3.4263837932684638,3.445528144323325,3.4334083631867607,3.465456507251436,3.3923116089613035,3.4240060871219327,3.3170578043786425,3.351389020874909,3.3780569036064327,3.374310880172359,3.330167774612219,3.3989380305872627,3.379835129993659,3.362966243791325,3.42602258707412,3.4144030322173085,3.4666919479206166,3.4023339374860884,3.4860270815326992,3.453774276875977,3.4149280233369264,3.439086294416244,3.475172807406938,3.4916024750599823,3.5788676387047906,3.7428778291938176,3.752008316794254,3.7677598210629117,3.7838347045154803,3.9180682138494785,4.015434325689368,4.055496264674493,4.083422057994614,3.895241395241395,3.774995845565834,3.7607687210072895,3.801871945663878,3.692545811337442,3.759150200891628,3.7632644130839075,3.723806437675524,3.634502847245913,3.5682266451497218,3.613689686830562,3.6639971343039175,3.9065513251418813,4.1049259110933125,4.1582965046203295,4.182651016318351,4.288798000454442,4.304140441985831,4.342190537913156,4.434878649712554,4.494188053861204,4.419873717893774,4.38881294144452,4.4007196504554935,4.391507285974499,4.333286098908885,4.285391225689733,4.19181946403385,4.139612691031784,4.138364061875678,4.217795787911649,4.233847913093196,4.219795299902796,4.3306047002904675,4.410547475464113,4.355158436640137,4.342280883879579,4.379474940334129,4.373204022988506,4.373667937441839,4.3398716333753224,4.2684386973180075,4.116237267825045,4.042226833889741,4.01823708206687,4.005596277259041
DC,2.0397208803005906,2.024147727272727,2.0336605890603083,2.003484320557491,2.1030494216614093,2.131032053539979,2.046577275935074,2.0515518148342977,2.181946155199719,2.2381535233432417,2.380952380952381,2.5587101296880475,2.6353276353276356,2.6381461675579323,2.900355871886121,3.0907806428823736,3.4796293058226966,3.6468330134357005,3.8128249566724435,4.145793746761099,4.225592094053502,4.407760381211709,4.871060171919771,4.95458298926507,5.319843342036553,5.536668285575522,5.733097799903645,6.008652459541739,6.044218228089709,6.06826801517067,6.0658853341780175,5.987928843710292,6.029831799428752,5.887954292969369,5.52980661658942,5.578711125360693,5.272351913609655,5.160057333970378,4.888603942939573,4.867042707493956,4.721862871927555,4.614637305699482,4.7011308562197085,4.683727667793336,4.746528898934453,4.8208259681825485,4.854991187309726,4.773462783171521,4.93339911198816,5.052005943536404,5.063291139240507,4.871538204871538,4.9513259483048,5.176789037387921,5.204460966542751,5.371621621621622,5.465587044534413,5.6387813499410875,5.779862623555034,6.075153120344314,6.383673469387754,6.507627393703343,6.722418784174976,6.795530051344005,6.734343723191307,6.764705882352941,6.773074253990284,7.008830022075055,7.0563961485557085,7.097748489840747,7.114570531203059,6.851702869401985,6.744521716310195,6.661482633488855,6.67095115681234,6.70338527673294,6.967327562133482,7.099591491759402,7.358941888279161,7.183867805629464,7.2255544706374675,7.135942469921172,7.228749136143746,7.562202963377132,7.489539748953974,7.6966292134831455,7.703180212014134,7.901128732676097,7.852127812007451,7.910576096302665,7.803052116325943,7.963958726929225,7.977951842181607,8.332113047298288,8.432147562582346,8.453396059982358,8.693018325003786,8.737419945105215,9.072918252397626,9.18227501142074,9.122489049992447,9.271623672230653,9.499924000607995,9.595043819885161,9.709618874773138,9.543944427665357,9.550476767065234,9.640024405125077,9.51873286628084
DE,2.4749558043606363,2.4296227076276136,2.4324640392936496,2.331002331002331,2.2719328905976934,2.3201585636003266,2.3374218930803057,2.2201665124884364,2.3140686161639423,2.159104029557788,2.2386337410570043,2.269817250611105,2.133176193282263,2.230614894370353,2.1975452951490357,2.3329425556858148,2.525429673798667,2.578462256446156,2.706469973283773,2.827140549273021,2.803203661327231,2.88341468952208,3.014962312971088,3.173719376391982,3.4223890483550448,3.4012107870115575,3.428948236069898,3.4207650273224046,3.3994955587235443,3.440316553088591,3.513394817742644,3.5867532181758173,3.6373687119955775,3.7488908606921028,3.8134188128661437,3.7341217696014013,3.613666228646518,3.6763106373721994,3.8398958672307195,3.8893690579083837,3.9240913477002253,3.8972071785069553,3.8327526132404177,4.008416622830089,4.129018701407858,4.252644809887922,4.244393208970865,4.207973001476482,4.267711532352006,4.2755091161104595,4.212552122313696,4.236463849562304,4.366623432771292,4.533622559652929,4.633246527777778,4.5636422623553585,4.478092783505154,4.404479862158087,4.355834868349767,4.599438566184409,4.662709120345386,4.848940974088808,4.895254382214621,4.821391699359901,4.73437655736071,4.736009491793554,4.670060700998629,4.6140367954833055,4.618512780790085,4.527690401296349,4.403583215464404,4.085532302092812,4.01514484458924,3.9063859404906904,3.9892463793252975,4.050365413401426,4.091520861372813,4.057450628366248,4.023871959490008,4.01292755184487,3.9076376554174073,4.018288929921744,4.155027932960894,4.43580454183971,4.440746255583779,4.4135534317984355,4.381018478355166,4.374187960155912,4.482907832107313,4.535245335176227,4.540790148794254,4.646551724137931,4.820744865993735,4.791047385906627,4.80104940970704,4.779896318425446,4.96473141616929,5.079481088982277,5.082430093815466,5.11611030478955,4.9721740717087854,4.880269507420559,5.067227659379859,5.055509679787137,5.010553363311003,5.042016806722689,5.028295760274608,4.909464252380063,4.739292364990689
FL,1.4563620024316752,1.4817069011653226,1.4926073691621684,1.501029812553311,1.532110614449906,1.5425028569655665,1.607736943907157,1.6484534172994998,1.676089329923064,1.7080864421597248,1.7100931335152656,1.725193904177625,1.7150817811258448,1.749611597543033,1.8425838178418665,1.8914351934573188,1.9183881662841111,1.960025067125891,2.0220298577259532,2.0770400405473897,2.169512454327385,2.3151044294218543,2.432047215642189,2.501450261046988,2.580606621764908,2.608266735755426,2.633897680716444,2.6765537073919368,2.7455802008864385,2.8065284656524017,2.767786561264822,2.7727407115403566,2.7429428663875517,2.678034837417243,2.645556839964297,2.6468319986807067,2.6271670885954332,2.602730545343137,2.542084882947306,2.533402907764411,2.5149677672542103,2.463913583787401,2.4624782266338974,2.4287162226769423,2.404665683476662,2.3819459433532386,2.3906027891966652,2.3750606618265335,2.39089828493802,2.4053879132055456,2.4165024690457075,2.4205785536643187,2.395952515436345,2.4326563644071064,2.452183856135985,2.4752712724621273,2.523250568667159,2.5926441037249477,2.6203607237414337,2.6380280347096408,2.681632149199024,2.734088944113464,2.8273270660603185,2.921243281140453,3.0885106659789887,3.154279294833722,3.157251008820484,3.148007877594304,3.176065227032375,3.1510912166865657,3.153213457950181,3.124575800579996,3.0968235128447565,3.0792862486668895,3.092342092326234,3.123417921782053,3.0682243543017003,3.1089776405635936,3.150443746912892,3.0910353765623,3.0039859567616083,3.026606294203495,3.0496499021372623,3.1175069007314207,3.108248102314893,3.1243191260771894,3.150955734784537,3.123383854589381,3.1299947732420295,3.0797581298198082,3.105800231157613,3.224798227567653,3.3190897753061686,3.3391973566575888,3.334158824500578,3.3265592989080472,3.360662595164394,3.4056632549312003,3.361344537815126,3.3483220283006885,3.3273301269148465,3.319697923222152,3.317977848896919,3.3250399705884863,3.2971549675679146,3.263006946770052,3.2177717360910956,3.186512299765,3.131933114063485
